,TIME,ACI,NP,Site,Treatment,Soil
0,0,184.34824305555563,48.391666666666666,1C,Inside,Black
1,1,167.53900361111107,50.42777777777778,1C,Inside,Black
2,2,162.1041191666666,53.29166666666666,1C,Inside,Black
3,3,158.03462194444447,53.37222222222222,1C,Inside,Black
4,4,154.340345,54.75277777777778,1C,Inside,Black
5,5,153.62888861111122,56.04166666666666,1C,Inside,Black
6,6,159.99291666666664,53.91666666666666,1C,Inside,Black
7,7,159.75901027777792,54.81111111111111,1C,Inside,Black
8,8,158.0381905555554,55.62777777777778,1C,Inside,Black
9,9,159.80143182957374,55.689223057644114,1C,Inside,Black
10,10,156.93634190476206,56.89523809523809,1C,Inside,Black
11,11,157.49830637254902,57.37990196078432,1C,Inside,Black
12,12,157.77828753246757,57.21038961038961,1C,Inside,Black
13,13,156.929750656168,57.05249343832021,1C,Inside,Black
14,14,155.97256757493182,57.52043596730245,1C,Inside,Black
15,15,156.8732416666668,57.391666666666666,1C,Inside,Black
16,16,155.07832249999993,58.27777777777778,1C,Inside,Black
17,17,154.6067980555554,57.766666666666666,1C,Inside,Black
18,18,160.35867444444432,54.55277777777778,1C,Inside,Black
19,19,163.90767361111102,47.28333333333333,1C,Inside,Black
20,20,178.72730305555564,46.90555555555556,1C,Inside,Black
21,21,175.40209055555567,46.58888888888889,1C,Inside,Black
22,22,176.40922138888882,46.263888888888886,1C,Inside,Black
23,23,189.64073888888885,46.90277777777778,1C,Inside,Black
0,0,153.33919155844154,56.15909090909091,3C,Inside,Black
1,1,153.11723597733712,56.773371104815865,3C,Inside,Black
2,2,152.67537055555556,56.68333333333333,3C,Inside,Black
3,3,152.64140416666663,56.18055555555556,3C,Inside,Black
4,4,151.7845952777777,56.42777777777778,3C,Inside,Black
5,5,151.93179777777772,56.25277777777778,3C,Inside,Black
6,6,151.9439847222223,53.41944444444445,3C,Inside,Black
7,7,151.80616027777782,55.82222222222222,3C,Inside,Black
8,8,151.30247472222217,57.09444444444444,3C,Inside,Black
9,9,153.5008497222222,54.888888888888886,3C,Inside,Black
10,10,153.8361772222223,54.18055555555556,3C,Inside,Black
11,11,155.53642138888898,54.41111111111111,3C,Inside,Black
12,12,155.9150055555555,54.93888888888889,3C,Inside,Black
13,13,157.62434527777776,55.27777777777778,3C,Inside,Black
14,14,160.73234166666657,54.93888888888889,3C,Inside,Black
15,15,153.19487722222226,56.41666666666666,3C,Inside,Black
16,16,153.67432388888884,55.952777777777776,3C,Inside,Black
17,17,154.38227388888885,56.74444444444445,3C,Inside,Black
18,18,153.26145999999994,56.11111111111112,3C,Inside,Black
19,19,153.0827330555556,53.41111111111111,3C,Inside,Black
20,20,153.35141249999995,52.75277777777778,3C,Inside,Black
21,21,154.47757409326434,52.7020725388601,3C,Inside,Black
22,22,154.07653324538254,54.94459102902375,3C,Inside,Black
23,23,153.53852458563546,55.96408839779006,3C,Inside,Black
0,0,155.73469527777766,50.80277777777778,4C,Inside,Red
1,1,154.74599861111105,52.24444444444445,4C,Inside,Red
2,2,154.6726127777777,52.23333333333333,4C,Inside,Red
3,3,154.6875158333333,51.61111111111112,4C,Inside,Red
4,4,153.13706305555567,54.16944444444445,4C,Inside,Red
5,5,152.27546555555563,56.32222222222222,4C,Inside,Red
6,6,158.27397055555565,52.77777777777778,4C,Inside,Red
7,7,155.33330305555546,54.81944444444444,4C,Inside,Red
8,8,153.90426583333328,54.85833333333333,4C,Inside,Red
9,9,156.84180388888893,54.31388888888889,4C,Inside,Red
10,10,153.2375147222222,56.12777777777778,4C,Inside,Red
11,11,153.30918861111118,56.93333333333333,4C,Inside,Red
12,12,153.90809000000002,55.63333333333333,4C,Inside,Red
13,13,153.6782808333334,55.70555555555556,4C,Inside,Red
14,14,154.10614425770285,55.7563025210084,4C,Inside,Red
15,15,154.93160030959748,56.0030959752322,4C,Inside,Red
16,16,153.73763,56.774193548387096,4C,Inside,Red
17,17,154.13672233333344,55.93666666666667,4C,Inside,Red
18,18,154.08228366666654,55.67,4C,Inside,Red
19,19,152.85178499999984,48.21666666666667,4C,Inside,Red
20,20,154.67724918032778,45.954098360655735,4C,Inside,Red
21,21,157.905677316294,47.91054313099041,4C,Inside,Red
22,22,159.73178938547494,48.25977653631285,4C,Inside,Red
23,23,156.5007897222223,49.58611111111111,4C,Inside,Red
