,Spot,Shannon H,Richness,Evenness
0,1A,3.4763866081523367,55,0.8675062560216505
1,1B,3.4044022543533683,40,0.9228824895746292
2,1C,3.371372575732246,41,0.9078516628126853
3,1D,3.6184799785403166,50,0.9249638802020023
4,1E,3.488376464512837,44,0.9218291898603584
5,2A,3.2128185070498363,39,0.8769658647464017
6,2B,3.633003715256863,52,0.9194582703597897
7,2C,3.146982970125251,46,0.8219581423872886
8,2D,3.044199839801123,38,0.8368736041238137
9,2E,3.440780142186313,42,0.9205682935043867
10,3A,3.4649666652377835,46,0.9050120673132759
11,3B,3.349607390325601,42,0.8961753532041722
12,3C,3.4695504330248585,42,0.9282656808544648
13,3D,3.450798701896734,42,0.9232487229520333
14,3E,3.3206423375774,41,0.8941908970476444
15,4A,3.303811017948183,47,0.8580998340117616
16,4B,3.5389983374721266,49,0.9093426896381147
17,4C,3.598107564898567,50,0.9197562386279416
18,4D,3.578336115567192,49,0.9194504991158964
19,4E,3.294821863971533,36,0.9194375474379504
20,5A,3.295815800056039,45,0.8658019482717252
21,5B,3.284499297207292,36,0.9165569803357465
22,5C,3.1889653022075546,34,0.904321971604043
23,5D,3.4937785063787015,43,0.9288999252661279
24,5E,3.570574540185718,47,0.927386404251056
25,6A,3.302102193076328,40,0.8951504743245908
26,6B,3.7740832037285186,59,0.925579042657047
27,6C,3.3727067275772864,47,0.8759941374921016
28,6D,3.561715048473649,50,0.9104535028376813
29,6E,3.4666063999303285,53,0.8731364029172458
30,7A,3.403508522912741,37,0.9425604805345463
31,7B,3.4921841157760594,41,0.9403840973188049
32,7C,3.413401573894909,42,0.9132432564926942
33,7D,3.3604800155271053,36,0.9377598034893889
34,7E,3.321100257142975,38,0.9129956271311478
35,8A,3.4109063954372467,46,0.8908921056344123
36,8B,3.296009681419986,43,0.876318616408477
37,8C,3.259311437668003,35,0.916734840386515
38,8D,3.3556917885416615,37,0.9293182148481286
39,8E,3.3574855222014865,38,0.9229982122139018
40,9A,3.4093004231962127,36,0.9513833976457354
41,9B,3.441718945163677,41,0.9267947096064052
42,9C,3.4255619082422766,39,0.935035967488413
43,9D,3.416225956462202,42,0.9139989098424386
44,9E,3.5149492152962303,45,0.9233677072086077
45,10A,3.2421388633992576,41,0.8730512846291861
46,10B,2.933800420950094,29,0.8712630458019124
47,10C,3.151907262283376,32,0.9094481953276271
48,10D,3.1966259782797204,40,0.8665574514002506
49,10E,3.663819613211389,51,0.9318367484859094
