,francolin; crested,starling; superb,morning-thrush; spotted,shrike; northern white crowned,dove; ring-necked,goshawk; eastern pale chanting,bushshrike; rosy-patched,bulbul; common,boubou; slate-colored,brownbul; northern,cordonbleu; blue-capped,bushshrike; gray-headed,falcon; pygmy,green wood hoopoe,grey backed camaroptera,go-away-bird; white-bellied,lapwing; black-headed,sandgrouse; black-faced,puffback; black-backed,prinia; tawny-flanked,drongo; fork-tailed,starling; hildebrandt's,crombec; northern,bustard; buff-crested,starling; fischer's,vulture; white-backed,roller; lilac-breasted,shrike; white-rumped,scimitarbill; abyssinian,canary; white-bellied,sunbird; beautiful,wren-warbler; gray,african hoopoe,mousebird; blue-naped,parisoma; banded,woodpecker; bearded,weaver; white headed buffalo,scrub-robin; red-backed,cisticola; tiny,mousebird; white-headed,oxpecker; red-billed,starling; wattled,swift; white-rumped,oriole; african black-headed,flycatcher; african gray,francolin; yellow-necked,sunbird; eastern violet-backed,sparrow-weaver; white-browed,bushshrike; sulphur-breasted,sparrow; parrot-billed,batis; chinspot,fiscal; taita,waxbill; black-faced,yellow necked spurfowl,woodpecker; nubian,lapwing; crowned,spotted thick knee,weaver; black-necked,buffalo-weaver; red-billed,woodpecker; cardinal,dove; african mourning,babbler; northern pied,chatterer; rufous,spotted palm thrush,weaver; gray headed social,spotted thicknee,eagle-owl; verreaux's,bee-eater; little,fiscal; long-tailed,grey headed sparrow,wood-dove; emerald-spotted,barbet; red-and-yellow,goshawk; gabar,cisticola; zitting,white browed scrub robin,siffling cisticola,dove; laughing,ostrich; common,white-eye; abyssinian,bustard; white-bellied,pytilia; green-winged,brubru,hornbill; von der decken's,weaver; vitelline masked,masked-weaver; lesser,tchagra; brown-crowned,barbet; black-throated,tchagra; black-crowned,thrush; african bare-eyed,tit; red-throated,grenadier; purple,cisticola; rattling,sparrow-lark; fischer's,sandgrouse; chestnut-bellied,longclaw; pangani,secretary bird,eagle; tawny,courser; three-banded,eremomela; yellow-bellied,apalis; yellow-breasted,guineafowl; helmeted,two banded courser,barbet; d'arnaud's,sparrow; yellow-spotted bush,black headed weaver,hornbill; northern red-billed,flycatcher; southern black,lark; pink-breasted,oxpecker; yellow-billed,weaver; speckle-fronted,grosbeak canary;northern,banded couser,yellow spotted petronia,bunting; somali,crombec; red-faced,southern grosbeak canary,cordonbleu; red-cheeked,tinkerbird; red-fronted,hornbill; african gray,owlet; pearl-spotted,prinia; red-fronted,barbet; red-fronted,mousebird; speckled,sparrow; chestnut,barbet; spot-flanked,honeyguide; lesser,sunbird; scarlet-chested,harrier-hawk; african,african pied wagtail,openbill; african,hawk-eagle; african,nan,bittern; little,eagle; martial,cisticola; desert,african paradise flycatcher,parrot; red-bellied,hamerkop,swallow; lesser striped,swallow; red-rumped,bustard; kori
0,26.0,32.0,12.0,3.0,53.0,5.0,1.0,10.0,21.0,11.0,2.0,3.0,8.0,21.0,3.0,48.0,5.0,37.0,5.0,9.0,12.0,18.0,3.0,7.0,8.0,1.0,4.0,2.0,2.0,13.0,23.0,7.0,14.0,22.0,28.0,1.0,44.0,9.0,4.0,33.0,9.0,30.0,8.0,3.0,8.0,18.0,4.0,22.0,1.0,10.0,9.0,5.0,8.0,3.0,8.0,9.0,2.0,5.0,5.0,6.0,3.0,78.0,10.0,1.0,4.0,1.0,6.0,4.0,4.0,2.0,4.0,5.0,4.0,2.0,1.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,1.0,9.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,39.0,55.0,12.0,1.0,35.0,2.0,9.0,0.0,21.0,0.0,0.0,11.0,2.0,0.0,0.0,31.0,0.0,41.0,4.0,8.0,6.0,6.0,3.0,20.0,32.0,0.0,1.0,5.0,8.0,1.0,18.0,13.0,4.0,1.0,24.0,1.0,31.0,13.0,17.0,6.0,5.0,0.0,0.0,2.0,13.0,4.0,5.0,14.0,0.0,17.0,8.0,5.0,0.0,0.0,20.0,23.0,0.0,1.0,4.0,2.0,0.0,72.0,18.0,0.0,4.0,0.0,1.0,11.0,3.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,5.0,2.0,1.0,1.0,14.0,2.0,1.0,2.0,1.0,4.0,115.0,4.0,1.0,5.0,4.0,3.0,6.0,1.0,17.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,41.0,49.0,8.0,0.0,25.0,3.0,10.0,3.0,26.0,0.0,0.0,8.0,0.0,0.0,0.0,51.0,0.0,42.0,6.0,0.0,6.0,5.0,4.0,15.0,62.0,0.0,1.0,20.0,11.0,12.0,27.0,18.0,2.0,6.0,15.0,0.0,46.0,15.0,15.0,11.0,28.0,18.0,0.0,1.0,1.0,20.0,3.0,2.0,0.0,10.0,16.0,3.0,6.0,0.0,25.0,11.0,0.0,0.0,5.0,2.0,16.0,58.0,11.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,8.0,2.0,5.0,0.0,0.0,3.0,0.0,12.0,3.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,2.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,26.0,10.0,4.0,0.0,34.0,6.0,5.0,0.0,17.0,0.0,0.0,5.0,3.0,5.0,1.0,24.0,6.0,49.0,5.0,0.0,4.0,9.0,7.0,26.0,66.0,0.0,0.0,12.0,8.0,1.0,15.0,10.0,0.0,1.0,13.0,1.0,28.0,5.0,13.0,0.0,10.0,63.0,0.0,0.0,6.0,3.0,2.0,10.0,0.0,9.0,12.0,0.0,0.0,0.0,21.0,16.0,0.0,6.0,2.0,6.0,3.0,22.0,0.0,0.0,15.0,0.0,0.0,2.0,2.0,0.0,4.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,10.0,9.0,0.0,1.0,1.0,34.0,2.0,2.0,3.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,8.0,0.0,9.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,32.0,20.0,2.0,10.0,24.0,5.0,4.0,1.0,32.0,5.0,3.0,6.0,1.0,0.0,0.0,33.0,0.0,32.0,8.0,2.0,20.0,1.0,1.0,29.0,62.0,0.0,0.0,6.0,12.0,2.0,15.0,20.0,0.0,0.0,19.0,1.0,26.0,8.0,12.0,0.0,21.0,0.0,2.0,0.0,9.0,3.0,2.0,0.0,2.0,0.0,13.0,0.0,1.0,2.0,17.0,0.0,0.0,8.0,0.0,5.0,0.0,34.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,17.0,2.0,0.0,2.0,0.0,1.0,0.0,7.0,2.0,2.0,1.0,11.0,0.0,1.0,0.0,35.0,4.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,40.0,22.0,2.0,26.0,36.0,5.0,14.0,2.0,33.0,0.0,4.0,5.0,0.0,0.0,0.0,34.0,0.0,60.0,21.0,1.0,10.0,4.0,11.0,22.0,70.0,2.0,0.0,16.0,8.0,6.0,19.0,32.0,1.0,8.0,21.0,0.0,47.0,15.0,18.0,0.0,7.0,82.0,0.0,1.0,12.0,2.0,3.0,3.0,1.0,11.0,11.0,0.0,7.0,0.0,15.0,14.0,0.0,13.0,9.0,3.0,3.0,46.0,5.0,0.0,17.0,0.0,0.0,0.0,4.0,0.0,10.0,13.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,6.0,6.0,5.0,0.0,48.0,10.0,10.0,1.0,13.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,5.0,4.0,0.0,12.0,4.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,13.0,24.0,1.0,2.0,33.0,2.0,7.0,0.0,9.0,0.0,0.0,1.0,5.0,0.0,0.0,32.0,0.0,23.0,0.0,0.0,8.0,22.0,7.0,19.0,45.0,0.0,0.0,19.0,13.0,0.0,23.0,15.0,1.0,0.0,24.0,1.0,38.0,11.0,3.0,0.0,12.0,22.0,0.0,2.0,9.0,0.0,6.0,4.0,0.0,6.0,13.0,0.0,0.0,0.0,17.0,4.0,0.0,6.0,0.0,7.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,4.0,1.0,3.0,24.0,0.0,0.0,0.0,37.0,0.0,15.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,14.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,12.0,56.0,6.0,9.0,35.0,9.0,21.0,0.0,12.0,3.0,0.0,1.0,2.0,0.0,1.0,34.0,0.0,43.0,4.0,2.0,7.0,4.0,8.0,15.0,2.0,0.0,0.0,2.0,15.0,4.0,7.0,12.0,4.0,8.0,19.0,1.0,39.0,10.0,4.0,8.0,8.0,0.0,2.0,0.0,3.0,18.0,0.0,5.0,0.0,0.0,5.0,14.0,1.0,4.0,13.0,38.0,0.0,6.0,0.0,6.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0,0.0,4.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,27.0,34.0,6.0,3.0,13.0,5.0,11.0,4.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,45.0,7.0,3.0,13.0,6.0,0.0,12.0,19.0,0.0,0.0,18.0,8.0,5.0,20.0,15.0,0.0,0.0,11.0,3.0,26.0,12.0,10.0,0.0,9.0,0.0,0.0,0.0,12.0,4.0,4.0,2.0,1.0,2.0,14.0,0.0,0.0,0.0,29.0,13.0,0.0,17.0,4.0,5.0,2.0,15.0,23.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,2.0,2.0,14.0,0.0,0.0,0.0,44.0,1.0,18.0,0.0,5.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
9,30.0,78.0,4.0,13.0,36.0,5.0,15.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,9.0,59.0,1.0,0.0,8.0,4.0,1.0,19.0,13.0,1.0,0.0,3.0,1.0,11.0,10.0,11.0,2.0,6.0,8.0,1.0,25.0,2.0,10.0,3.0,14.0,13.0,0.0,1.0,2.0,10.0,4.0,3.0,1.0,3.0,5.0,14.0,3.0,4.0,22.0,26.0,0.0,1.0,0.0,1.0,4.0,85.0,0.0,1.0,0.0,0.0,2.0,14.0,10.0,0.0,7.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,1.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,1.0,39.0,22.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,6.0,1.0
