"","Spot","shannonH","Abundance","Richness","max(maxH)","mean(maxH)","sd(maxH)","cv(maxH)","median(maxH)","iqr(maxH)","mean(sdH)","sd(sdH)","mean(cvH)","sd(cvH)","cover_ground_maxH","cover_grass_maxH","cover_shrub_maxH","cover_tree_maxH","cover_woody_maxH","mean(sdH)_grass","sd(sdH)_grass","mean(cvH)_grass","sd(cvH)_grass","mean(sdH)_shrub","sd(sdH)_shrub","mean(cvH)_shrub","sd(cvH)_shrub","mean(sdH)_tree","sd(sdH)_tree","mean(cvH)_tree","sd(cvH)_tree","mean(sdH)_woody","sd(sdH)_woody","mean(cvH)_woody","sd(cvH)_woody","mean(coverG)","sd(coverG)","cv(coverG)","median(coverG)","iqr(coverG)","max(coverG)","mean(nlayers)","sd(nlayers)","cv(nlayers)","median(nlayers)","iqr(nlayers)","max(nlayers)","propMultiLayer","mean(gapsize)","sd(gapsize)","cv(gapsize)","median(gapsize)","iqr(gapsize)","max(gapsize)","mean(maxpeakh)","sd(maxpeakh)","cv(maxpeakh)","median(maxpeakh)","iqr(maxpeakh)","max(maxpeakh)","mean(ptoh)","sd(ptoh)","cv(ptoh)","median(ptoh)","iqr(ptoh)","max(ptoh)","mean(cscore)","sd(cscore)","cv(cscore)","median(cscore)","iqr(cscore)","max(cscore)","mean(FHD)","sd(FHD)","cv(FHD)","median(FHD)","iqr(FHD)","max(FHD)","mean(VDR)","sd(VDR)","cv(VDR)","median(VDR)","iqr(VDR)","max(VDR)","mean(VDRpeak)","sd(VDRpeak)","cv(VDRpeak)","median(VDRpeak)","iqr(VDRpeak)","max(VDRpeak)","mean(meanpeakh)","sd(meanpeakh)","cv(meanpeakh)","median(meanpeakh)","iqr(meanpeakh)","max(meanpeakh)","mean(stdpeakh)","sd(stdpeakh)","cv(stdpeakh)","median(stdpeakh)","iqr(stdpeakh)","max(stdpeakh)","mean(cvpeakh)","sd(cvpeakh)","cv(cvpeakh)","median(cvpeakh)","iqr(cvpeakh)","max(cvpeakh)","mean(herbh)","sd(herbh)","cv(herbh)","median(herbh)","iqr(herbh)","max(herbh)","25thPerc_plot","50thPerc_plot","75thPerc_plot","98thPerc_plot","100thPerc_plot","meanH_plot","stdH_plot","Cover0p0m_plot","Cover0p05m_plot","Cover0p5m_plot","Cover1p0m_plot","Cover3p0m_plot","nlayers_plot","gapsize_plot","maxpeakh_plot","ptoh_plot","cscore_plot","FHD_plot","VDR_plot","VDRpeak_plot","meanpeakh_plot","stdpeakh_plot","cvpeakh_plot","herbh_plot","Treatment","Soil","Treatment_f","Soil_f","nlayers_plot_f","Transect_f"
"1","10A",3.24213886339926,165,41,1.98574432373047,0.206083035332075,0.389145535733169,1.88829485700321,0.0753298783302307,0.0543324001133442,0.0564749574286607,0.137484279673115,0.242588699586593,0.28130455285968,0.193523113084356,0.690345608078698,0.116131278836946,0,0.0975015234613041,0.011937851932786,0.0137291221429223,0.154116610852997,0.131238015049178,0.415337833700174,0.125515778297569,0.768513484936977,0.352171113674604,NA,NA,NA,NA,0.444582750551802,0.108248476070526,0.710731573652159,0.319770647113869,0.131136590876659,0.14776638307427,1.12681275368255,0.0804597701149425,0.170255183413078,1,0.205884913380343,0.404562017107434,1.96499107421272,0,0,2,8.70549316618787e-05,0.00012622965090972,0.0135283797956123,107.172757732551,0,0,1.45,0.0264559937320449,0.105655363958553,3.99362673837411,0,0,1.5,0.071753814041748,0.219361975020521,3.05714724645705,0,0,5.42589852452033,0.0731587881953513,0.028866635501786,0.394575090892775,0.0625,0.03125,0.1875,0.383768735076462,0.307581981143683,0.801477434274057,0.333560212104988,0.398720755591325,1.56982347928828,0.837387563923914,0.143680647261216,0.171582017038733,0.845517337322235,0.220106025536855,1,4.20765503032413e-05,0.00450945993187076,107.172757732551,0,0,0.483333333333333,0.0263928789065901,0.104989548302088,3.97794983539568,0,0,1.5,6.3114825454862e-05,0.00676418989780614,107.172757732551,0,0,0.725,9.3058720052353e-05,0.00997335965907209,107.172757732551,0,0,1.06896551724138,0.0786193562451405,0.246102301895656,3.1303016667841,0,0,2.91376194088029,0.0601321365684271,0.0782739594578743,0.174594484269619,1.41115076541901,2.04457783699036,0.30901307,0.44246218,0.641932692893101,0.137585172797656,0.0192746480957991,0.0132522980387425,0,1,0,0.05,0.0402991517366046,0.21875,0.595868448009135,0.99221,0,0.05,0,0,0.590397208525551,"Outside","Black","Outside","Black","1","10"
"2","10B",2.93380042095009,146,29,2.66756408691406,0.114440578435753,0.246548429918309,2.15437944554538,0.0520899314433336,0.0949859538426002,0.0289744652491193,0.0834483117786973,0.279125312449475,0.320699019823049,0.478064066852368,0.452211002785515,0.069724930362117,0,0.020107938718663,0.0194986488595117,0.0285923022474776,0.190867280876137,0.206415311401609,0.28909260419066,0.143424911762668,0.851535392378927,0.339667000205433,NA,NA,NA,NA,0.413061804166346,0.176603791692153,0.75055650122089,0.377615160623887,0.0692943950619399,0.123867398051258,1.78755291738296,0.0153846153846154,0.0857142857142857,1,0.0979282729805014,0.297217641353197,3.03505445676936,0,0,1,0,0,0,NA,0,0,0,0.0105675487465181,0.0675772664536316,6.39479107923657,0,0,2.5,0.0294266630905177,0.130443403363295,4.43283028599082,0,0,4.07341388466079,0.0610691591225627,0.0252597856359826,0.41362589560612,0.0625,0.03125,0.25,0.226641917590588,0.24362178086025,1.07491934170949,0.147403736655668,0.354829008566121,1.90306487042043,0.889091805536118,0.14341110555086,0.161300671829254,0.951479464769363,0.184680432081223,1,0,0,NA,0,0,0,0.0105675487465181,0.0675772664536316,6.39479107923657,0,0,2.5,0,0,NA,0,0,0,0,0,NA,0,0,0,0.0326828563997302,0.147317863684864,4.50749658729583,0,0,3.19783236069334,0.0613916972652078,0.084356527775526,0.165717635303736,1.42252775907516,2.74818634986877,0.22180916,0.3518691,0.563195465572877,0.0730022241439065,0.00630734909637844,0.00183466636158994,0,1,0,0.05,0.103523034951649,0.25,0.373104979193352,0.997297,0,0.05,0,0,0.485320222343287,"Outside","Black","Outside","Black","1","10"
"3","10C",3.15190726228338,133,32,3.57873426914215,0.138608392070932,0.3786301858794,2.73165412441723,0,0.0725528341035049,0.0390161245329969,0.117971539772341,0.322460949489371,0.390998297172234,0.603029511621833,0.302080612866719,0.0910594585183251,0.00374336206146078,0.0477061025507095,0.0150135460754729,0.025718064996157,0.158829159724023,0.204359966437902,0.34693962770085,0.135850155642003,0.863348350132138,0.380386922022166,0.770775603000508,0.285584334993637,0.369765354452688,0.198074229088642,0.453712376813493,0.178789728688381,0.670878243897106,0.370754495089581,0.0520011972825292,0.108528481049613,2.08703812067948,0,0.0526315789473684,1,0.0806999216505615,0.279004930827313,3.45731352795398,0,0,2,0.00182815356489945,0.00475319926873857,0.113214726260237,23.8186366401345,0,0,3.45,0.0202185078784713,0.197263368074747,9.75657398955701,0,0,3.5,0.0211972259063402,0.122667273005759,5.78694936534451,0,0,3.64501050350015,0.0599019543832158,0.0301458486248397,0.503253173210095,0.0625,0.03125,0.28125,0.210255793781065,0.274614750447018,1.30609837431147,0.124250837389631,0.306829153440971,1.87498862289297,0.873154310348545,0.158641083767136,0.1816873396683,0.941382706165314,0.218142330646515,1,0.00087159604853519,0.0204193316697399,23.4275174882408,0,0,0.492857142857143,0.017841908244102,0.169507747238169,9.50053911941865,0,0,3.5,0.00237659963436928,0.0566073631301186,23.8186366401345,0,0,1.725,0.00203093672804339,0.0481242317259879,23.6955839448287,0,0,1.8,0.0264496511193904,0.145802205442451,5.51244342635441,0,0,3.95714550606803,0.0619465708732605,0.0909989029169083,0.813856422901154,3.03688848495483,3.73856043815613,0.51608807,0.78769416,0.579225767403905,0.0512145102762691,0.0116691099601936,0.00761847249755808,0.00121633525582672,2,2.95,3,2.72886683843745,0.3125,0.367706656666411,0.9978854,0.491666666666667,1.525,1.475,1.03389830508475,0.467420114252073,"Outside","Black","Outside","Black","2","10"
"4","10D",3.19662597827972,202,40,3.50455558300018,0.199110764376754,0.406879603731414,2.04348371121474,0.0693575038015842,0.122059931146602,0.0534682894296041,0.132914464630859,0.303790356161534,0.361130394560406,0.318735852341982,0.55972488246561,0.12066864008358,0.00087062510882813,0.0661675082709385,0.0158523061090991,0.0206650429384975,0.17871624911854,0.176072503113232,0.365461633757058,0.17467157677098,0.884507142280737,0.427233080394625,0.569247202575207,0.273071216785059,0.226587217980618,0.13056454196188,0.447592213401865,0.18872384873481,0.737463066687891,0.436035005821068,0.105362583984489,0.162060176924545,1.5381188539226,0.0408163265306122,0.135431379472693,1,0.150444018805502,0.363064032247428,2.41328326064465,0,0,2,0.00200243775030471,0.00479714434964304,0.10988124489967,22.9055531563994,0,0,3.45,0.0388690579836322,0.235685323567277,6.06357179189997,0,0,3.5,0.0586455629419187,0.226446199932549,3.86126739301345,0,0,4.56867804006045,0.0700608349294794,0.0292961681656146,0.418153283430079,0.0625,0.03125,0.25,0.314799194623121,0.281702986143278,0.89486565072231,0.25409251585662,0.368577605992104,1.84947620561172,0.906810580971228,0.137864746064874,0.152032573238411,0.971858710050583,0.154006933172544,1,0.00094094881553526,0.0210760774554712,22.398750184389,0,0,0.492857142857143,0.0364704858088107,0.214531967620217,5.88234466480262,0,0,3,0.00239857217482152,0.054940622449835,22.9055531563995,0,0,1.725,0.00229134373108893,0.0519207887643605,22.6595373098762,0,0,1.66666666666667,0.0651205471233551,0.259055856053997,3.97809704459758,0,0,3.91001584315635,0.0633256528526545,0.0902765244245529,0.274210698902607,2.48908205509186,3.71278595924377,0.40597093,0.6509261,0.5574619376698,0.112417535500087,0.0200156420159676,0.0139977956486257,0.00051162655591198,1,0,0.05,0.0317521047461836,0.3125,0.552640846787052,0.9978011,0,0.05,0,0,0.510034745352418,"Outside","Black","Outside","Black","1","10"
"5","10E",3.66381961321139,196,51,3.88017773628235,0.674936421548964,1.05497360638038,1.56307108743553,0,1.52795147021612,0.165747576615273,0.287313377273283,0.33764278897861,0.285262432006535,0.602230159421552,0.0881609896332433,0.278857043296454,0.0307518076487499,0.29802247582542,0.00802844301909491,0.0219882097394893,0.0779650389686121,0.158580543579593,0.501070496971698,0.252089697361759,0.414340304911776,0.27974265673927,0.823130274291754,0.213596276248136,0.386609175686976,0.147613482005121,0.545750434135403,0.262360615288193,0.404704822951133,0.259074093039477,0.163244762709278,0.274916964411766,1.68407831191108,0,0.259816612729235,1,0.288352643958533,0.549457655647394,1.90550586984182,0,0,2,0.0483491593344368,0.10714347939716,0.489129968086969,4.56518652221344,0,0,3.45,0.390691697883091,0.847730961802016,2.16982077273546,0,0,3.5,0.157384729237886,0.326790737902669,2.07638148558064,0,0,2.21521331667114,0.081308803031623,0.0627313804392651,0.7715201564936,0.0625,0.09375,0.3125,0.427101346058196,0.582507192297141,1.3638617571057,0.116906849137531,0.844401533190043,2.05347388390812,0.828824381167232,0.265014053442054,0.319746932479032,0.995615124702454,0.275535802046458,1,0.0226493202908831,0.100952608615052,4.45720257025497,0,0,0.492857142857143,0.337119958184511,0.74488714814659,2.20956110744088,0,0,3.5,0.05357173969858,0.244564984043484,4.56518652221344,0,0,1.725,0.0561676248942145,0.257924904919534,4.59205646322605,0,0,5,0.279683924954013,0.702885913776313,2.51314377074723,0,0,4.43360265033031,1.02835938334465,1.63117974996567,2.14356446266174,3.03243769645691,3.92579340934753,1.5304613,0.8481939,0.521662002132375,0.169103171883325,0.143560562790345,0.132665543370653,0.00457298885588809,2,1.95,2,0.703311160791345,0.3125,1.01110292363476,0.99769765,0.4875,1.025,0.975,1.05128205128205,0.47518656398406,"Outside","Black","Outside","Black","2","10"
"6","1A",3.47638660815234,253,55,7.28966019630432,1.16676472899238,1.53731649796763,1.3175891075275,0.293031042814255,1.46428538123767,0.354781894075985,0.50782981988724,0.504808337087329,0.311265548221763,0.0429976499260162,0.527112890591,0.266254678388023,0.16363478109496,0.339368091217686,0.0404987884819914,0.0285823759061247,0.358188439218016,0.170080400205943,0.440854610733374,0.260071259633946,0.731696846863778,0.368612533931458,1.32034801263758,0.409519136325111,0.607935012667331,0.297849882619614,0.922105480417816,0.511571666123446,0.667337716163355,0.351905578553504,0.461572600984629,0.273712864044074,0.593000675213798,0.471698113207547,0.438829937810141,1,0.899469057359213,0.596570023221048,0.663246854730658,1,0,3,0.123509443815824,0.405148402820089,1.12963768205228,2.78820717097558,0,0,6.45,0.838858908521194,1.41622635774735,1.68827718626007,0.05,0.95,7.5,0.453853352111933,0.49844739253339,1.09825649676034,0.291591152650531,0.744033283249337,5.65108002632331,0.111797153799286,0.0748937250157461,0.669907260342296,0.0625,0.0625,0.53125,0.851191671777153,0.510054318806007,0.599223812588643,0.685314207276458,0.615929427296644,2.54049893924124,0.764670382552104,0.243368619790724,0.318266046840308,0.831633388996124,0.330856204032898,1,0.0547750208388219,0.147492112823855,2.69268930554782,0,0,0.7,0.631026779238112,0.998379583522974,1.58215089497215,0.05,0.95,6,0.205633176385326,0.573821792300098,2.79051173739028,0,0,3.225,0.16284492319244,0.459715790351952,2.82302807689428,0,0,5.66666666666667,0.725531924707697,0.88167374610784,1.21521013215656,0.4566804315084,0.943968037263189,5.78216309453792,0.112198328599334,0.581175595521927,2.34037345647812,5.30272515296936,7.33575105667114,1.3167168,1.5276196,0.650679841823991,0.480862929589519,0.216288606328868,0.1607510580565,0.0718920612576908,2,2.95,3,0.556470078211547,0.53125,1.74742139156105,0.9904543,0.491666666666667,1.525,1.475,1.03389830508475,0.998701812209438,"Inside","Black","Inside","Black","2","1"
"7","1B",3.40440225435337,152,40,6.05587572097778,0.827248054617902,0.985060418051652,1.19076788703558,0.323182577192783,1.0779760403807,0.241733044314823,0.310182935135101,0.483763863128431,0.319568881577294,0.0379526462395543,0.493210306406685,0.412865598885794,0.0559714484679666,0.333130222841226,0.0315701982137804,0.0286052935698788,0.304870915630819,0.18912252704274,0.398821217854431,0.197061259187098,0.687621537631443,0.328242875109217,1.09882338060005,0.282596765035989,0.556408482652037,0.22710228238649,0.579304336819643,0.315752257474786,0.631277087084938,0.314785656618415,0.403186660604823,0.295086112648762,0.731884611971291,0.34,0.513545190102381,1,0.676793175487465,0.537174227617945,0.793705148151119,1,1,3,0.0345577994428969,0.0909383704735376,0.501129181457444,5.51064615352074,0,0,5.45,0.441177750696379,0.817513904300731,1.85302613971426,0.05,0.5,5.5,0.300895463825023,0.368409648374845,1.22437754192626,0.17930305145654,0.501286510756391,6.99296075883297,0.103009662256267,0.0549026460786623,0.532985400360556,0.09375,0.0625,0.46875,0.779008208780185,0.46030018510719,0.590879762137493,0.674895273743828,0.633483053506738,2.39695106297378,0.805359347684511,0.239677950953196,0.297603736322542,0.904837220907211,0.289777353405952,1,0.0148914106243493,0.0797129650140027,5.35294922857489,0,0,0.495454545454545,0.395606284818942,0.690225184055736,1.74472754994687,0.05,0.5,5,0.0455392945548091,0.250988156921932,5.51146343779775,0,0,2.725,0.0482297115345451,0.271929213495676,5.63820941165911,0,0,4.33333333333333,0.657326083174522,0.919608768233986,1.39901457096116,0.170181775882,1.06597487641872,5.61598475517999,0.108164291828871,0.589892506599426,1.2132226228714,3.54463047981262,6.14732503890991,0.8756378,0.96534854,0.63571046247613,0.43974385537802,0.214917596885162,0.122083948443022,0.0178010584203119,1,0,0.05,0.0141739573801939,0.46875,1.49069144418597,0.99249995,0,0.05,0,0,1.14739218357906,"Inside","Black","Inside","Black","1","1"
"8","1C",3.37137257573225,154,41,6.81786212921143,0.337409613032621,0.887296728363455,2.62973162023593,0.0852310720831156,0.103227053129425,0.0865885829078222,0.250114858603296,0.283636842627939,0.261109120908553,0.214061956143404,0.658806126000696,0.0955447267664462,0.0315871910894535,0.0770971110337626,0.0206377338244257,0.0238522125364307,0.214246979701825,0.173087587585982,0.353655764938269,0.205200257082585,0.70576082435547,0.331145229979747,1.24108452366321,0.38872428615541,0.454045989395942,0.267173331361192,0.795746352834707,0.479015451379608,0.611916291663197,0.367265102854328,0.199689557971048,0.251730396666135,1.26060871296351,0.0952380952380952,0.262376439985136,1,0.330403759136791,0.513518683294364,1.55421561981007,0,1,2,0.0212321615036547,0.0792681865645667,0.559875827303426,7.0630583537746,0,0,6.45,0.204411764705882,0.790638002756972,3.86786936600533,0,0.05,6.5,0.159391374676691,0.352162153081492,2.20941787970533,0,0.207963565849428,6.86278101856193,0.075065806648103,0.0425532184778226,0.566878854407114,0.0625,0.03125,0.4375,0.425488111095822,0.370638620843315,0.871090428093878,0.357514976227616,0.448417992166189,2.53111995469612,0.89153367479089,0.193186612759286,0.216690202761661,1,0.159885769089063,1,0.00924255794578627,0.06352849752791,6.87347570884021,0,0,0.496153846153846,0.164777671423599,0.599530903971127,3.63842320862694,0,0.05,6,0.0396340932822833,0.279937913651713,7.0630583537746,0,0,3.225,0.0291572108708548,0.211145172808989,7.24161078863846,0,0,4.33333333333333,0.210285016574776,0.528910426153728,2.51520738266984,0,0.102820461736701,7.1535536577136,0.0743461102247238,0.152775593101978,0.965571030974388,5.47989200592041,6.99223184585571,0.9510473,1.507137,0.494531644787907,0.215476294392159,0.0686697508926376,0.0448726969994413,0.0251449924675768,2,2.95,3,0.613136089408508,0.5,0.923100487170237,0.9994833,0.491666666666667,1.525,1.475,1.03389830508475,0.680093889010515,"Inside","Black","Inside","Black","2","1"
"9","1D",3.61847997854032,207,50,8.71094985961914,0.489719602183469,1.01742254236193,2.07756140008617,0.176381966471672,0.162812097494801,0.136492888053362,0.329200886640554,0.403206221232514,0.236706831257126,0.0336990595611285,0.788923719958203,0.140195053988157,0.0371821664925113,0.114681295715778,0.0367009143196326,0.0243907691892043,0.340271030241018,0.147934655771843,0.369314565912167,0.208202344282767,0.716604651689942,0.321552750687839,1.49971332915773,0.669070248312903,0.55688621501821,0.35204859225653,0.811717478712581,0.635466018667072,0.655912568917329,0.360000878501163,0.410045016134269,0.250764554224969,0.611553718148001,0.393939393939394,0.387215540099625,1,0.763932427725531,0.491039600793599,0.642778841389911,1,1,3,0.0286485545106235,0.116435910832463,0.728274396410646,6.25472323103606,0,0,7.5,0.32389846743295,0.926813723813846,2.86143287789932,0.05,0.05,8,0.426632894832776,0.585516009235071,1.37241177679131,0.261659368026135,0.444703202742882,5.65260034546219,0.0793359238941135,0.0403875599735616,0.509070267177643,0.0625,0.03125,0.40625,0.654564163495647,0.324964685693286,0.496459635000239,0.646723852869403,0.182080959623391,2.30575997027417,0.794794582880551,0.190039941275759,0.2391057329392,0.819365561008453,0.250715792179108,1,0.0128903855490846,0.0759691152310252,5.89347114108779,0,0,0.571428571428571,0.264526732845698,0.647625455530226,2.44824199264576,0.05,0.05,8,0.0589179973056722,0.368347080310208,6.25186016420734,0,0,3.75,0.0376788351447334,0.247037841749503,6.55640867878671,0,0,9,0.472093035414777,0.607147719150491,1.28607641630861,0.26498784059247,0.687055345153625,5.49138355090564,0.0771093610674143,0.12325431779027,0.329689219594002,4.26153216361999,8.98176383972168,0.5159412,1.0376998,0.663221026737479,0.432603397935497,0.0785212198542426,0.0431670574982178,0.0142297169919763,3,5.95,7,1.70018956691297,0.625,1.14621834663067,0.99546224,0.142857142857143,4.35,3.0678439769106,1.41793390822325,0.940295316173478,"Inside","Black","Inside","Black","3","1"
"10","1E",3.48837646451284,158,44,8.16777860641479,0.964049484154115,1.8963580441753,1.96707542024071,0.0689944364130497,0.516486681451401,0.269226667605307,0.587368307445554,0.354400413643821,0.327118240358187,0.399581954363351,0.34950357080648,0.10834349416478,0.142570980665389,0.227834871973524,0.0203268060278722,0.0267019440996705,0.199281232914869,0.187414983510081,0.463803389732549,0.263137142036637,0.709312496186689,0.374570209807068,1.4860829004441,0.707789164198247,0.464957922246114,0.301638550589595,1.12855154475901,0.742803336639786,0.548739905604414,0.353806575235172,0.205134605481739,0.289321959868742,1.41040054743225,0.0411665019065104,0.333333333333333,1,0.418306915171573,0.669714098114215,1.60101130013479,0,1,4,0.0871799338094409,0.373171050339662,1.2845831878034,3.44234416532087,0,0,7.45,0.803688381815015,1.79900593080041,2.23843714990332,0,0.05,8,0.224700873464041,0.396664835864402,1.76530170866417,0,0.333096909693839,4.16032893378282,0.0853074377286187,0.0706433593055374,0.828103166458581,0.0625,0.0625,0.46875,0.466251624075311,0.558982811164295,1.1988865717581,0.233791658706459,0.677968990749933,2.48281536806828,0.846091863066587,0.286061804348981,0.338097808093999,1,0.158639416098595,1,0.0391201169014268,0.128619894117254,3.28781977930549,0,0,0.727272727272727,0.608075320791964,1.37181223173215,2.25599063935943,0,0.05,7.5,0.191636579592302,0.65658369001225,3.42619186487832,0,0,3.725,0.118245958827665,0.434089858156384,3.67107563302895,0,0,10,0.421142681510757,0.912388703240135,2.16645983248988,0,0.225492369276025,5.79035330636163,0.135166496038437,1.29842865467072,4.06717538833618,6.98896608352661,8.28260517120361,2.1676497,2.2151487,0.445483637517073,0.230173705548208,0.128768602845208,0.112095312921556,0.0721317043766987,4,2.95,7,1.03839519449889,0.59375,1.28689124293462,0.99996775,0.464285714285714,3.6375,2.51629067279597,1.44558021031736,0.627653607559582,"Inside","Black","Inside","Black","4","1"
